Registrar Name;RAA;;;Country;Accredited TLDs
Tecnologia, Desarrollo Y Mercado S. de R.L. de C.V.;2009;1;;Honduras;.com .info .net .org
0101 Internet, Inc.;2009;1;4;Hong Kong;.asia .biz .com .info .mobi .name .net .org .pro .tel
AsiaRegister, Inc.;2009;1;;Hong Kong;.asia .biz .com .info .mobi .net .org
HKIDC International Limited;2009;1;;Hong Kong;.asia .biz .com .info .mobi .net .org
Hu Yi Global Information Resources (Holding) Company HongKong Limited;2009;1;;Hong Kong;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
DotRoll Kft.;2009;1;2;Hungary;.biz .com .info .net .org
GLOBIX Kft.;2001;1;;Hungary;.com .name .net
Answerable.com (I) Pvt Ltd;2009;1;18;India;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Bharti Airtel Services Limited;2001;1;;India;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
BigRock Solutions Ltd.;2009;1;;India;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Directi Web Services Pvt. Ltd.;2009;1;;India;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Good Domain Registry Pvt Ltd.;2009;1;;India;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Good Luck Internet Services PVT, LTD.;2009;1;;India;.asia .biz .com .coop .info .name .net .org .pro .travel
IndiaLinks Web Hosting Pvt Ltd.;2009;1;;India;.asia .biz .com .info .mobi .name .net .org
Infocom Network Ltd.;2009;1;;India;.biz .com .info .mobi .name .net .org
Net 4 India Limited;2009;1;;India;.asia .biz .com .info .mobi .name .net .org .pro .tel .xxx
Netlynx Inc.;2009;1;;India;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
PDR Ltd. d/b/a PublicDomainRegistry.com;2009;1;;India;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
SiliconHouse.Net Pvt Ltd.;2009;1;;India;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Times Internet Limited;2009;1;;India;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Tirupati Domains and Hosting Pvt Ltd.;2009;1;;India;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Trunkoz Technologies Pvt Ltd. d/b/a OwnRegistrar.com;2009;1;;India;.asia .biz .com .info .jobs .mobi .name .net .org .pro .tel .travel .xxx
Visesh Infotecnics Ltd. d/b/a Signdomains.com;2009;1;;India;.asia .biz .com .info .mobi .name .net .org .pro .tel
Web Werks India Pvt. Ltd;2009;1;;India;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
ZNet Technologies Pvt Ltd. d/b/a LemonRegistry.com;2009;1;;India;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
CV. Jogjacamp;2009;1;2;Indonesia;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
PT Ardh Global Indonesia;2009;1;;Indonesia;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Blacknight Internet Solutions Ltd.;2009;1;1;Ireland;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
!#No1Registrar, LLC;2009;1;5;Israel;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Black Ice Domains, Inc.;2009;1;;Israel;.com .net
Domain The Net Technologies Ltd.;2009;1;;Israel;.asia .biz .com .info .jobs .mobi .name .net .org .pro .tel .xxx
Gal Communication (CommuniGal) Ltd.;2009;1;;Israel;.asia .biz .com .info .jobs .mobi .name .net .org .pro .tel .travel .xxx
SiteName Ltd.;2009;1;;Israel;.asia .biz .com .info .mobi .net .org .tel
Aruba SpA;2009;1;9;Italy;.biz .com .info .name .net .org
Ekados, Inc., d/b/a groundregistry.com;2009;1;;Italy;.biz .com .info .name .net .org .pro
Neen Srl;2009;1;;Italy;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Own Identity, Inc.;2009;1;;Italy;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
REGISTER.IT SPA;2009;1;;Italy;.asia .biz .com .info .mobi .name .net .org .pro .tel .xxx
Server Plan Srl;2009;1;;Italy;.biz .com .info .net .org
Tuonome.it Srl d/b/a APIsrs.com;2009;1;;Italy;.aero .biz .com .coop .info .mobi .museum .name .net .org .pro .tel
TWT S.p.A.;2001;1;;Italy;.biz .com .info .mobi .name .net .org
webhosting24, Inc.;2009;1;;Italy;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
21Company, Inc. dba 21-domain.com;2009;1;15;Japan;.asia .biz .com .info .name .net .org .pro
Brights Consulting Inc.;2009;1;;Japan;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
DataHotel Co., Ltd.;2009;1;;Japan;.biz .com .info .name .net .org .pro
Firstserver, Inc.;2009;1;;Japan;.asia .biz .com .coop .info .mobi .name .net .org
GMO Domain International, Inc.;2009;1;;Japan;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
GMO Internet, Inc. d/b/a Onamae.com;2009;1;;Japan;.asia .biz .com .info .mobi .name .net .org .pro .tel .xxx
Humeia Corporation;2009;1;;Japan;.asia .biz .com .info .name .net .org .pro .tel
Interlink Co., Ltd.;2009;1;;Japan;.asia .biz .com .info .mobi .name .net .org .pro .tel .xxx
Japan Registry Services Co., Ltd.;2009;1;;Japan;.asia .biz .com .info .mobi .name .net .org
Netowl, Inc.;2009;1;;Japan;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
PSI Japan;2009;1;;Japan;.asia .biz .com .info .jobs .mobi .name .net .org .pro .tel .xxx
PURENIC JAPAN Inc.;2001;1;;Japan;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
RIDE Co., Ltd.;2009;1;;Japan;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Tsukaerunet Co., Ltd.;2009;1;;Japan;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
WIXI Incorporated;2009;1;;Japan;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Abu-Ghazaleh Intellectual Property dba TAGIdomains.com;2009;1;1;Jordan;.biz .com .info .name .net .org
Asadal, Inc.;2001;1;19;Korea (South);.asia .biz .com .info .net .org
Crosscert, Inc.;2009;1;;Korea (South);.asia .biz .com .info .jobs .mobi .name .net .org .tel
Dotname Korea Corp.;2009;1;;Korea (South);.asia .biz .com .info .name .net .org .pro
Gabia, Inc.;2009;1;;Korea (South);.asia .biz .com .info .jobs .mobi .name .net .org .tel .travel .xxx
Gsonsoft, Inc.;2009;1;;Korea (South);.com .net
HANGANG Systems, Inc. dba Doregi.com;2009;1;;Korea (South);.asia .biz .com .info .mobi .name .net .org .pro
HANILNETWORKS Co., Ltd.;2009;1;;Korea (South);.asia .com .net .org
Inames Co., Ltd.;2009;1;;Korea (South);.asia .biz .com .info .jobs .mobi .name .net .org .pro .tel .travel
Internet NAYANA Inc.;2009;1;;Korea (South);.biz .com .info .name .net .org .pro
